date,airline,flight_number,origin,destination,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours
2026-03-11,Lufthansa,LU539,Dubai,Sydney,Via Strait of Hormuz,Via Red Sea–Suez route,7498,8728,1230,8512.17,2.6
2026-03-11,Ethiopian Airlines,ET5811,Abu Dhabi,Sydney,Direct Middle East overfly,Via Central Asian detour,11947,13583,1636,6314.64,1.2
2026-03-12,Jazeera Airways,JA7529,Los Angeles,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,11505,12483,978,6642.2,5.3
2026-03-12,Malaysia Airlines,MA5536,Cairo,Riyadh,Via Strait of Hormuz,Via Red Sea–Suez route,9263,10299,1036,5734.78,1.9
2026-03-12,Iran Air,IR8541,Riyadh,Cairo,Direct Gulf route,Via Jordan–Egypt alternate,3789,4240,451,2428.93,2.1
2026-03-12,FedEx Express,FE6579,Tehran,Istanbul,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6637,7854,1217,4971.69,3.4
2026-03-12,Ethiopian Airlines,ET1620,Abu Dhabi,Sydney,Direct Middle East overfly,Via Central Asian detour,3990,5259,1269,5682.25,1.8
2026-03-12,Singapore Airlines,SI691,Delhi,Dubai,Via Persian Gulf,Via Indian Ocean southern route,9204,11068,1864,9544.27,0.8
2026-03-12,flydubai,FL4404,Dubai,Karachi,Via Baghdad FIR,Via Ankara–Baku corridor,11601,12889,1288,4883.55,4.6
2026-03-12,Air India,AI8688,Riyadh,London,Via Baghdad FIR,Via Ankara–Baku corridor,9877,10457,580,2881.13,3.2
2026-03-12,Etihad Airways,ET5193,Doha,Paris,Via Strait of Hormuz,Via Red Sea–Suez route,5014,5718,704,3288.02,1.2
2026-03-12,British Airways,BR4933,Cairo,Riyadh,Via Baghdad FIR,Via Ankara–Baku corridor,4837,5544,707,3650.54,4.5
2026-03-12,Malaysia Airlines,MA2562,Dubai,Amman,Direct Middle East overfly,Via Central Asian detour,8697,9751,1054,6741.19,5.4
2026-03-12,Lufthansa,LU4681,Karachi,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,2920,4741,1821,11876.0,3.4
2026-03-12,Cathay Pacific,CA8682,Dubai,Karachi,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11031,12344,1313,7782.35,5.0
2026-03-12,Turkish Airlines,TU5812,Paris,Beirut,Direct Gulf route,Via Jordan–Egypt alternate,2998,3859,861,4255.31,3.7
2026-03-12,Emirates SkyCargo,EM4558,Paris,Dubai,Via Persian Gulf,Via Indian Ocean southern route,5939,8007,2068,8401.63,4.1
2026-03-13,Cargolux,CA2854,Washington,Abu Dhabi,Via Persian Gulf,Via Indian Ocean southern route,9902,11575,1673,6018.99,2.7
2026-03-13,Air India,AI429,Sydney,Abu Dhabi,Via Persian Gulf,Via Indian Ocean southern route,8579,11794,3215,17682.84,2.2
2026-03-13,American Airlines,AM631,London,Bahrain,Via Persian Gulf,Via Indian Ocean southern route,7172,10148,2976,12622.15,3.8
2026-03-13,KLM,KL1423,London,Bahrain,Direct Middle East overfly,Via Central Asian detour,2531,4747,2216,10027.63,1.3
2026-03-13,Pakistan International Airlines,PA1247,Dubai,Delhi,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9018,10631,1613,10146.11,1.8
2026-03-13,KLM,KL2026,Karachi,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,2265,3152,887,5776.76,0.7
2026-03-13,Delta Air Lines,DE9335,Delhi,Istanbul,Direct Middle East overfly,Via Central Asian detour,3210,5571,2361,16406.45,2.3
2026-03-13,Oman Air,OM1081,Sydney,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,11294,11893,599,2813.32,4.4
2026-03-13,Saudi Arabian Airlines,SA8564,Mumbai,Doha,Direct Gulf route,Via Jordan–Egypt alternate,8482,9240,758,4491.85,1.9
2026-03-13,Emirates SkyCargo,EM1183,London,Kuwait City,Via Strait of Hormuz,Via Red Sea–Suez route,6768,7814,1046,4466.13,0.6
2026-03-13,Mahan Air,MA222,Bahrain,London,Via Persian Gulf,Via Indian Ocean southern route,11105,12652,1547,9760.86,3.4
2026-03-13,EgyptAir,EG8456,Kuwait City,London,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4902,6232,1330,4704.74,2.3
2026-03-13,Kuwait Airways,KU2210,Dubai,Cairo,Via Persian Gulf,Via Indian Ocean southern route,5800,8640,2840,16403.41,1.6
2026-03-13,Thai Airways,TH6810,Paris,Doha,Direct Tehran overfly,Via Ashgabat–Almaty route,5896,7132,1236,5705.99,4.8
2026-03-13,Saudi Arabian Airlines,SA8715,Cairo,Riyadh,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11061,12842,1781,7051.61,1.3
2026-03-13,Lufthansa,LU6362,Muscat,London,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4465,6902,2437,12481.33,2.2
2026-03-13,Air Arabia,AI7983,Islamabad,Riyadh,Via Strait of Hormuz,Via Red Sea–Suez route,7577,8946,1369,6359.07,1.5
2026-03-13,British Airways,BR1941,Paris,Doha,Via Baghdad FIR,Via Ankara–Baku corridor,4861,6158,1297,5670.68,4.7
2026-03-14,Jazeera Airways,JA3316,Karachi,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5348,7973,2625,15006.03,3.4
2026-03-14,Pakistan International Airlines,PA2963,Islamabad,Riyadh,Via Persian Gulf,Via Indian Ocean southern route,10024,13058,3034,13706.55,3.2
2026-03-14,British Airways,BR9901,London,Bahrain,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8620,10116,1496,7910.29,1.5
2026-03-14,Cathay Pacific,CA2611,Mumbai,Kuwait City,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2574,5020,2446,10638.05,4.9
2026-03-14,Etihad Airways,ET445,Sydney,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,2295,2712,417,2029.24,2.3
2026-03-14,Air India,AI7105,Abu Dhabi,Sydney,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10259,11939,1680,7958.34,2.2
2026-03-14,American Airlines,AM383,Dubai,Amman,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,2506,3724,1218,7430.69,4.8
2026-03-14,Cathay Pacific,CA1949,Paris,Beirut,Via Strait of Hormuz,Via Red Sea–Suez route,11749,12796,1047,5761.78,1.6
2026-03-14,Thai Airways,TH6927,Abu Dhabi,Sydney,Direct Gulf route,Via Jordan–Egypt alternate,5045,6026,981,4093.33,2.2
2026-03-15,American Airlines,AM7693,Islamabad,Dubai,Via Persian Gulf,Via Indian Ocean southern route,2990,5250,2260,15347.21,0.6
2026-03-15,Oman Air,OM7571,Doha,Los Angeles,Via Strait of Hormuz,Via Red Sea–Suez route,2854,4348,1494,9892.74,4.1
2026-03-15,Emirates,EM2681,Moscow,Tehran,Via Baghdad FIR,Via Ankara–Baku corridor,7074,7839,765,3835.9,3.1
2026-03-15,Pakistan International Airlines,PA8935,Istanbul,Tehran,Direct Tehran overfly,Via Ashgabat–Almaty route,5350,6425,1075,7046.72,1.5
2026-03-15,Kuwait Airways,KU3304,London,Abu Dhabi,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3920,5909,1989,9399.09,3.5
2026-03-15,British Airways,BR7030,Frankfurt,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4606,7212,2606,17810.23,5.3
2026-03-15,Emirates SkyCargo,EM9570,Islamabad,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,4162,6125,1963,9853.65,1.2
2026-03-15,United Airlines,UN5759,Doha,Paris,Via Strait of Hormuz,Via Red Sea–Suez route,10308,11703,1395,7723.33,5.7
2026-03-16,Air Arabia,AI5860,Karachi,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,7170,8095,925,5055.7,3.4
2026-03-16,Qatar Airways,QA2394,Doha,Paris,Via Baghdad FIR,Via Ankara–Baku corridor,3757,5127,1370,5267.5,2.5
2026-03-16,Malaysia Airlines,MA8629,Dubai,London,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2021,3729,1708,11819.14,2.0
2026-03-16,United Airlines,UN1220,London,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,7428,8134,706,3090.3,2.5
2026-03-16,Emirates SkyCargo,EM9823,London,Riyadh,Direct Gulf route,Via Jordan–Egypt alternate,4395,4906,511,2390.85,3.6
2026-03-16,Kuwait Airways,KU4606,Islamabad,Riyadh,Via Baghdad FIR,Via Ankara–Baku corridor,8969,9705,736,4729.56,4.0
2026-03-16,American Airlines,AM2074,Bahrain,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,6090,7960,1870,10103.19,1.2
2026-03-16,Air Arabia,AI4486,London,Abu Dhabi,Direct Tehran overfly,Via Ashgabat–Almaty route,10048,11263,1215,4323.22,0.6
2026-03-16,United Airlines,UN3468,Dubai,Amman,Via Persian Gulf,Via Indian Ocean southern route,10491,13774,3283,15202.38,2.1
2026-03-16,Jazeera Airways,JA1220,Karachi,Istanbul,Via Persian Gulf,Via Indian Ocean southern route,2827,4250,1423,7250.82,4.8
2026-03-16,Qatar Airways,QA1822,Frankfurt,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,11718,12671,953,6155.78,4.1
2026-03-17,British Airways,BR8803,Paris,Doha,Via Persian Gulf,Via Indian Ocean southern route,11340,14691,3351,13309.2,5.1
2026-03-17,IndiGo,IN5133,Moscow,Tehran,Via Baghdad FIR,Via Ankara–Baku corridor,3108,3929,821,3862.09,2.3
2026-03-17,Saudi Arabian Airlines,SA1692,Tehran,Istanbul,Direct Gulf route,Via Jordan–Egypt alternate,9823,10934,1111,7123.67,5.7
2026-03-17,Singapore Airlines,SI7570,Islamabad,Dubai,Direct Middle East overfly,Via Central Asian detour,4853,7180,2327,8862.7,2.8
2026-03-17,Air France,AI812,Abu Dhabi,London,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4695,6188,1493,5414.15,5.3
2026-03-17,flydubai,FL9996,Delhi,Istanbul,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10369,12703,2334,11384.64,3.9
2026-03-17,Singapore Airlines,SI2303,Istanbul,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,10684,11385,701,3929.75,5.3
2026-03-17,FedEx Express,FE8011,Sydney,Abu Dhabi,Direct Middle East overfly,Via Central Asian detour,11503,12504,1001,4787.86,1.0
2026-03-17,flydubai,FL4158,Dubai,Islamabad,Via Baghdad FIR,Via Ankara–Baku corridor,3377,4130,753,2824.57,4.1
2026-03-17,FedEx Express,FE3174,London,Abu Dhabi,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6091,8414,2323,10298.52,5.8
2026-03-17,Cargolux,CA3355,Dubai,Karachi,Direct Gulf route,Via Jordan–Egypt alternate,5776,6958,1182,5049.39,4.4
2026-03-17,American Airlines,AM9629,Islamabad,Riyadh,Direct Tehran overfly,Via Ashgabat–Almaty route,3325,4335,1010,7059.54,5.2
2026-03-17,EgyptAir,EG5488,Abu Dhabi,London,Direct Gulf route,Via Jordan–Egypt alternate,2004,2847,843,4075.83,0.4
2026-03-17,Singapore Airlines,SI6275,Beijing,Tehran,Direct Middle East overfly,Via Central Asian detour,5559,6492,933,3804.87,1.0
2026-03-17,Oman Air,OM4661,Cairo,Kuwait City,Direct Middle East overfly,Via Central Asian detour,5516,7613,2097,7476.41,4.7
2026-03-17,Gulf Air,GU1778,Istanbul,Tehran,Direct Tehran overfly,Via Ashgabat–Almaty route,10566,11597,1031,5880.59,4.3
2026-03-17,Air India,AI6793,Doha,London,Direct Middle East overfly,Via Central Asian detour,7829,8943,1114,5482.64,3.2
2026-03-17,Air France,AI6425,Dubai,London,Via Strait of Hormuz,Via Red Sea–Suez route,11771,12448,677,3934.39,5.9
2026-03-18,FedEx Express,FE4573,Istanbul,Karachi,Via Strait of Hormuz,Via Red Sea–Suez route,4227,5073,846,5389.23,5.1
2026-03-18,Iran Air,IR3493,Dubai,Islamabad,Direct Tehran overfly,Via Ashgabat–Almaty route,11534,12974,1440,8299.66,5.4
2026-03-18,Air Arabia,AI4395,Beijing,Tehran,Via Persian Gulf,Via Indian Ocean southern route,10696,12276,1580,7280.79,2.7
2026-03-18,Cathay Pacific,CA7678,Singapore,London,Direct Middle East overfly,Via Central Asian detour,11592,13882,2290,15915.76,1.0
2026-03-18,Turkish Airlines,TU5182,Bahrain,London,Direct Gulf route,Via Jordan–Egypt alternate,4812,5798,986,5108.33,4.7
2026-03-18,United Airlines,UN5573,Frankfurt,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,6332,6976,644,2502.52,5.3
2026-03-19,Lufthansa,LU6977,Mumbai,Doha,Via Persian Gulf,Via Indian Ocean southern route,2237,5245,3008,15886.93,5.8
2026-03-19,Thai Airways,TH6502,Cairo,Kuwait City,Direct Tehran overfly,Via Ashgabat–Almaty route,11035,12877,1842,7958.33,5.8
2026-03-19,American Airlines,AM2193,London,Abu Dhabi,Direct Gulf route,Via Jordan–Egypt alternate,6297,6961,664,2795.84,1.9
2026-03-19,flydubai,FL4534,Cairo,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,7652,9046,1394,7723.26,4.8
2026-03-19,Iran Air,IR168,Dubai,Istanbul,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5687,8259,2572,10588.5,1.5
2026-03-19,American Airlines,AM7586,London,Bahrain,Direct Gulf route,Via Jordan–Egypt alternate,7981,9033,1052,3929.89,2.1
2026-03-19,Kuwait Airways,KU6138,Washington,Abu Dhabi,Direct Middle East overfly,Via Central Asian detour,6210,7507,1297,7187.19,1.4
2026-03-19,Ethiopian Airlines,ET2774,Riyadh,Cairo,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5165,6394,1229,6479.43,1.5
2026-03-19,IndiGo,IN5789,Tehran,Beijing,Via Baghdad FIR,Via Ankara–Baku corridor,10584,11555,971,4920.65,2.5
2026-03-19,Emirates SkyCargo,EM8388,Sydney,Abu Dhabi,Via Persian Gulf,Via Indian Ocean southern route,3990,5776,1786,9135.25,0.7
2026-03-19,Delta Air Lines,DE7705,Istanbul,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,10935,11961,1026,4529.44,4.8
2026-03-19,IndiGo,IN6908,Karachi,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,4384,4958,574,3201.67,4.0
2026-03-19,Lufthansa,LU5195,Lahore,Doha,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,11081,13648,2567,10787.54,0.5
2026-03-19,Emirates SkyCargo,EM9454,Beirut,Paris,Direct Gulf route,Via Jordan–Egypt alternate,3925,4375,450,2619.33,1.6
2026-03-19,American Airlines,AM9656,Doha,Paris,Via Persian Gulf,Via Indian Ocean southern route,3625,6898,3273,17522.69,4.9
2026-03-20,Gulf Air,GU6826,Sydney,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,4090,5548,1458,9570.7,4.8
2026-03-20,flydubai,FL9158,Beirut,Paris,Direct Middle East overfly,Via Central Asian detour,4936,7282,2346,13970.93,5.1
2026-03-20,Pakistan International Airlines,PA5273,New York,Doha,Direct Middle East overfly,Via Central Asian detour,8160,10108,1948,13435.92,5.9
2026-03-20,Mahan Air,MA8553,Doha,Paris,Via Strait of Hormuz,Via Red Sea–Suez route,5843,6759,916,3632.12,0.7
2026-03-20,Lufthansa,LU4648,Lahore,Doha,Direct Gulf route,Via Jordan–Egypt alternate,5378,6241,863,5330.09,1.2
2026-03-20,flydubai,FL4250,Dubai,Delhi,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11358,12172,814,4411.46,1.4
2026-03-20,Air India,AI9582,Dubai,Paris,Via Baghdad FIR,Via Ankara–Baku corridor,4160,5323,1163,4868.99,0.4
2026-03-20,Etihad Airways,ET9655,Paris,Doha,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5456,6773,1317,6306.92,1.7
2026-03-20,Jazeera Airways,JA8609,Cairo,Riyadh,Via Persian Gulf,Via Indian Ocean southern route,8047,9371,1324,9242.23,5.9
2026-03-20,Ethiopian Airlines,ET9615,New York,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8962,11374,2412,9135.19,4.1
2026-03-20,Air Arabia,AI1178,Cairo,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,8010,9622,1612,8696.47,4.0
2026-03-20,Lufthansa,LU1781,Mumbai,Doha,Via Persian Gulf,Via Indian Ocean southern route,10797,12918,2121,9973.46,5.6
2026-03-20,Thai Airways,TH887,Kuwait City,Mumbai,Via Persian Gulf,Via Indian Ocean southern route,8508,9733,1225,5321.62,2.0
2026-03-20,Cathay Pacific,CA465,Paris,Beirut,Via Persian Gulf,Via Indian Ocean southern route,3049,4878,1829,11785.1,4.7
2026-03-20,Kuwait Airways,KU1075,Beirut,Paris,Direct Middle East overfly,Via Central Asian detour,8707,10840,2133,11707.16,1.5
2026-03-21,Emirates,EM4398,Beirut,Paris,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,11397,13951,2554,15468.73,0.7
2026-03-21,Emirates,EM1072,Dubai,Bahrain,Via Strait of Hormuz,Via Red Sea–Suez route,3833,5364,1531,10485.65,3.4
2026-03-21,KLM,KL4655,London,Bahrain,Direct Gulf route,Via Jordan–Egypt alternate,4642,5552,910,4787.49,5.3
2026-03-21,Air Arabia,AI6713,Dubai,Amman,Via Strait of Hormuz,Via Red Sea–Suez route,4099,5281,1182,4152.64,5.8
2026-03-21,Kuwait Airways,KU339,Istanbul,Tehran,Direct Gulf route,Via Jordan–Egypt alternate,9285,9884,599,2664.68,1.8
2026-03-21,Etihad Airways,ET7328,Kuwait City,London,Direct Middle East overfly,Via Central Asian detour,3209,4687,1478,7004.99,1.6
2026-03-21,Malaysia Airlines,MA2818,Paris,Doha,Direct Gulf route,Via Jordan–Egypt alternate,10393,11273,880,5686.12,4.6
2026-03-21,Gulf Air,GU5188,Istanbul,Tehran,Direct Gulf route,Via Jordan–Egypt alternate,8947,9368,421,1844.18,5.5
2026-03-21,Air India,AI7223,Dubai,Sydney,Via Strait of Hormuz,Via Red Sea–Suez route,2357,3514,1157,7866.34,1.3
2026-03-21,Oman Air,OM8450,Bahrain,Dubai,Via Baghdad FIR,Via Ankara–Baku corridor,9531,10277,746,3705.07,3.7
2026-03-22,Delta Air Lines,DE684,London,Riyadh,Via Strait of Hormuz,Via Red Sea–Suez route,10171,11544,1373,6903.79,2.1
2026-03-22,Delta Air Lines,DE7353,Dubai,Paris,Direct Middle East overfly,Via Central Asian detour,11203,13565,2362,14012.37,3.4
2026-03-22,Oman Air,OM5510,Singapore,London,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,2572,4722,2150,7807.99,4.2
2026-03-22,flydubai,FL4264,Islamabad,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,5841,6606,765,3712.54,1.5
2026-03-22,Qatar Airways,QA9767,Dubai,Frankfurt,Via Persian Gulf,Via Indian Ocean southern route,2800,4634,1834,6736.97,5.8
2026-03-22,Cargolux,CA7499,Dubai,Frankfurt,Direct Gulf route,Via Jordan–Egypt alternate,8397,9531,1134,5592.48,2.2
2026-03-22,Ethiopian Airlines,ET3241,Doha,Lahore,Direct Middle East overfly,Via Central Asian detour,10577,11920,1343,5303.25,4.1
2026-03-22,Turkish Airlines,TU6862,Dubai,Frankfurt,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5287,6801,1514,7486.0,2.9
2026-03-22,Air India,AI1076,Dubai,New York,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5656,7132,1476,5737.27,2.7
2026-03-22,Ethiopian Airlines,ET2335,Mumbai,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,9149,10335,1186,7383.95,1.4
2026-03-22,FedEx Express,FE6895,Kuwait City,London,Direct Middle East overfly,Via Central Asian detour,2728,5072,2344,8776.43,5.6
2026-03-22,American Airlines,AM2873,Dubai,Islamabad,Direct Middle East overfly,Via Central Asian detour,8573,10850,2277,15757.29,3.3
2026-03-22,Emirates,EM7290,Doha,Paris,Direct Middle East overfly,Via Central Asian detour,6035,8177,2142,9490.59,0.5
2026-03-22,Saudi Arabian Airlines,SA6488,Los Angeles,Doha,Direct Middle East overfly,Via Central Asian detour,9115,11549,2434,12242.05,2.4
2026-03-22,British Airways,BR1644,Paris,Doha,Direct Tehran overfly,Via Ashgabat–Almaty route,3193,3932,739,3295.85,0.9
2026-03-22,Iran Air,IR508,Dubai,Paris,Via Persian Gulf,Via Indian Ocean southern route,2828,4491,1663,9618.39,2.6
2026-03-22,Etihad Airways,ET9939,Istanbul,Delhi,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,8056,10020,1964,11992.26,3.4
2026-03-22,Pakistan International Airlines,PA5355,Dubai,Frankfurt,Via Strait of Hormuz,Via Red Sea–Suez route,8102,9120,1018,5974.75,3.8
2026-03-22,Etihad Airways,ET4964,Istanbul,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,2640,3411,771,4772.88,4.5
2026-03-22,Delta Air Lines,DE2275,Istanbul,Delhi,Direct Gulf route,Via Jordan–Egypt alternate,8090,9164,1074,5968.23,4.7
2026-03-23,Cargolux,CA9259,Sydney,Dubai,Direct Middle East overfly,Via Central Asian detour,4515,6976,2461,15499.49,3.3
2026-03-23,United Airlines,UN1325,London,Riyadh,Direct Gulf route,Via Jordan–Egypt alternate,5396,6059,663,3585.14,3.7
2026-03-23,Ethiopian Airlines,ET4940,Moscow,Tehran,Via Persian Gulf,Via Indian Ocean southern route,7063,10043,2980,16561.5,2.9
2026-03-23,EgyptAir,EG6185,Dubai,Cairo,Direct Middle East overfly,Via Central Asian detour,7149,9421,2272,10888.21,0.7
2026-03-23,Air India,AI8816,Frankfurt,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,6555,7349,794,4727.39,3.5
2026-03-23,FedEx Express,FE8693,Islamabad,Riyadh,Via Baghdad FIR,Via Ankara–Baku corridor,6445,7231,786,5420.14,2.0
2026-03-23,DHL Aviation,DH8778,Paris,Doha,Direct Gulf route,Via Jordan–Egypt alternate,8856,9828,972,6032.91,5.2
2026-03-23,Jazeera Airways,JA1066,London,Doha,Via Baghdad FIR,Via Ankara–Baku corridor,8452,9352,900,4558.57,0.5
2026-03-23,Ethiopian Airlines,ET7446,Karachi,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7737,8834,1097,5046.4,4.2
2026-03-23,Malaysia Airlines,MA1544,Islamabad,Riyadh,Via Persian Gulf,Via Indian Ocean southern route,11883,15301,3418,16862.94,2.4
2026-03-23,Qatar Airways,QA1473,Riyadh,London,Direct Tehran overfly,Via Ashgabat–Almaty route,6072,7008,936,3766.71,3.0
2026-03-23,Etihad Airways,ET2721,Doha,London,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10302,11942,1640,9915.87,1.4
2026-03-23,Air France,AI8884,Muscat,London,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3565,5150,1585,10991.65,2.1
2026-03-23,Emirates,EM8651,Tehran,Beijing,Direct Gulf route,Via Jordan–Egypt alternate,11229,11714,485,2168.63,6.0
2026-03-23,Ethiopian Airlines,ET2291,Abu Dhabi,Sydney,Direct Middle East overfly,Via Central Asian detour,11731,13318,1587,8342.64,5.7
2026-03-23,Air Arabia,AI7730,Mumbai,Kuwait City,Direct Tehran overfly,Via Ashgabat–Almaty route,7788,9138,1350,8248.12,4.7
2026-03-24,Gulf Air,GU6327,Dubai,Karachi,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9384,11964,2580,11412.66,1.6
2026-03-24,flydubai,FL1341,Islamabad,Riyadh,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5146,7082,1936,13366.82,2.6
2026-03-24,Mahan Air,MA1332,Islamabad,Dubai,Via Strait of Hormuz,Via Red Sea–Suez route,7248,8952,1704,9317.92,3.1
2026-03-24,Mahan Air,MA8014,Cairo,Dubai,Direct Middle East overfly,Via Central Asian detour,10899,12434,1535,6109.32,0.8
2026-03-24,KLM,KL5281,Mumbai,Kuwait City,Via Strait of Hormuz,Via Red Sea–Suez route,7710,9340,1630,6404.97,1.0
2026-03-24,United Airlines,UN9288,London,Abu Dhabi,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2643,4733,2090,11550.46,3.0
2026-03-24,Emirates,EM2840,Singapore,London,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,8802,9659,857,4694.81,0.7
2026-03-24,Emirates,EM3548,London,Doha,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8192,10239,2047,11793.73,0.8
2026-03-24,Air Arabia,AI3687,Dubai,Paris,Via Persian Gulf,Via Indian Ocean southern route,3510,5055,1545,8776.94,1.3
2026-03-24,Saudi Arabian Airlines,SA2566,Sydney,Abu Dhabi,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,2948,4899,1951,9511.67,1.9
2026-03-24,Singapore Airlines,SI8524,Paris,Doha,Via Baghdad FIR,Via Ankara–Baku corridor,11950,12729,779,3115.08,2.2
2026-03-24,IndiGo,IN2470,Washington,Abu Dhabi,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7645,9705,2060,12636.74,0.9
2026-03-24,Ethiopian Airlines,ET4180,Cairo,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5251,6946,1695,11817.28,2.0
2026-03-24,Ethiopian Airlines,ET838,Kuwait City,Cairo,Direct Gulf route,Via Jordan–Egypt alternate,5223,6010,787,4803.04,0.6
2026-03-24,Malaysia Airlines,MA7413,Tehran,Istanbul,Via Strait of Hormuz,Via Red Sea–Suez route,8682,10442,1760,11596.88,0.6
2026-03-24,FedEx Express,FE3024,Cairo,Riyadh,Via Baghdad FIR,Via Ankara–Baku corridor,2907,4400,1493,5963.21,1.2
2026-03-24,Cathay Pacific,CA3306,Sydney,Dubai,Via Persian Gulf,Via Indian Ocean southern route,9570,11647,2077,11215.07,4.1
